,,title,url,pid,formatted_url,price,currency,original_price,discount,f_assured,highlights,seller,seller_rating,description,specifications,formatted_specifications,images,return_policy,category,sub_category_1,sub_category_2,sub_category_3,breadcrumbs,country_of_origin,generic_name,manufactured_by,avg_ratings,reviews_count,ratings_count,uniq_id,scraped_at
72,123,"omnmo Back Cover for Tecno Spark 8C  (Multicolor, Dual Protection, Silicon, Pack of: 1)",https://www.flipkart.com/omnmo-back-cover-tecno-spark-8c/p/itm5542aa2fb2b37,itm5542aa2fb2b37,https://www.flipkart.com/product/p/itm5542aa2fb2b37,239,INR,₹649,63% off,True,Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover,OMNMOeStore,3.7,"Omnmo Designer cases will makes your cellphone smarty and protect your Phone from Dust, Scratches and stains. It will give your phone an outstanding look. Designed Specially for your Phone, it fits perfectly, giving you access to all the features and functions of your phone with ease. The special material of this phone will give you a perfect grip","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'om_Z968-5695'}, {'Designed For': 'Tecno Spark 8C'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}]",1 Back Cover: Sales Package | om_Z968-5695: Model Number | Tecno Spark 8C: Designed For | Multicolor: Brand Color | 1: Pack of,https://rukminim2.flixcart.com/image/l0zm64w0/cases-covers/back-cover/y/a/v/om-z968-5695-omnmo-original-imagcnp8vzm8nsnb.jpeg | https://rukminim2.flixcart.com/image/l0zm64w0/cases-covers/back-cover/f/n/y/om-z968-5695-omnmo-original-imagcnp8tsfmt68y.jpeg | https://rukminim2.flixcart.com/image/l0zm64w0/cases-covers/back-cover/n/i/4/om-z968-5695-omnmo-original-imagcnp8ucwk6msd.jpeg | https://rukminim2.flixcart.com/image/l0zm64w0/cases-covers/back-cover/k/x/o/om-z968-5695-omnmo-original-imagcnp85ddzykgh.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | omnmo Designer Cases & Covers,India,Cases & Covers,,0,0,0,c7d9da4a-4c4a-59e5-80f4-2bd91441c3e4,01/01/24
73,129,"INDICRAFT Back Cover for REDMI Note 11 TRANSFORMER, TRANSFORMER ELITE  (Multicolor, Shock Proof, Pack of: 1)",https://www.flipkart.com/hi/indicraft-back-cover-redmi-note-11-transformer-transformer-elite/p/itm51c1af05c6b8b,itm51c1af05c6b8b,https://www.flipkart.com/product/p/itm51c1af05c6b8b,269,INR,₹999,73% off,True,Suitable For: Mobile | Material: Plastic | Theme: Comics/Cartoons/Superheroes | Type: Back Cover,SHOPPERLINK,4.1,"REDMI Note 11 Back Cover by INDICRAFT TRANSFORMER, TRANSFORMER ELITE Stylish, Ultra Slim, Sleek and Light Weight Design Snap on Case Protect your phone from scratches and bumps,Image Full Wrap Finish (Side & Corner) Tight and Firm fit for perfect grip and support. Specially Designed for YourREDMI Note 11","[{'Sales Package': '1 Designer Printed Back Cover For Redmi Note 11'}, {'Model Number': '2201117TI-TRANSFORMER-TRANSFORMER-0021'}, {'Designed For': 'REDMI Note 11 TRANSFORMER, TRANSFORMER ELITE'}, {'Brand Color': 'Multicolor 21'}, {'Pack of': '1'}, {'Other Features': 'Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection'}]","1 Designer Printed Back Cover For Redmi Note 11: Sales Package | 2201117TI-TRANSFORMER-TRANSFORMER-0021: Model Number | REDMI Note 11 TRANSFORMER, TRANSFORMER ELITE: Designed For | Multicolor 21: Brand Color | 1: Pack of | Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection: Other Features",https://rukminim2.flixcart.com/image/l1mh7rk0/cases-covers/back-cover/g/g/6/2201117ti-transformer-transformer-0021-indicraft-original-imagd5ahh9f5chsw.jpeg | https://rukminim2.flixcart.com/image/l1dwknk0/cases-covers/back-cover/y/g/g/chatrapati-shivaji-maharaj-2201117ti-0064-keycent-original-imagcykhdr4nyhbc.jpeg | https://rukminim2.flixcart.com/image/knqd3m80/cases-covers/back-cover/b/6/i/rmx3193-g-g-letter-fire-g-name-g-alphabet-0509-indicraft-original-imag2cz5r6h6fjjy.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | INDICRAFT Designer Cases & Covers,,,,0,0,0,9b7ef215-4909-5b90-84cd-38096251e41e,01/01/24
74,130,"Appcityprint Back Cover for Samsung Galaxy J7 NXT ,Samsung Galaxy J7  (Multicolor, Grip Case, Silicon, Pack of: 1)",https://www.flipkart.com/appcityprint-back-cover-samsung-galaxy-j7-nxt-samsung/p/itm43f2f9bf87d94,itm43f2f9bf87d94,https://www.flipkart.com/product/p/itm43f2f9bf87d94,289,INR,₹899,67% off,True,Suitable For: Mobile | Material: Silicon | Theme: For Her | Type: Back Cover,LAXMI-TRADER,4.1,"These designs on the cases are designed by ""Appcityprint"" .This designer case allows easy access to all buttons controls. This designer Case Cover is Attractive, Comfortable, Light Weight and has unique design it perfectly fit and protects your smartphones. Easy to install & easy Remove. High quality printed case cover with perfect design.","[{'Sales Package': '1 Mobile Back Cover'}, {'Model Number': 'SAMSUNGGALAXYJ7NXT-697'}, {'Designed For': 'Samsung Galaxy J7 NXT ,Samsung Galaxy J7'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Certification': 'Appcityprint'}, {'Other Features': 'Appcityprint cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working'}]","1 Mobile Back Cover: Sales Package | SAMSUNGGALAXYJ7NXT-697: Model Number | Samsung Galaxy J7 NXT ,Samsung Galaxy J7: Designed For | Multicolor: Brand Color | 1: Pack of | Appcityprint: Certification | Appcityprint cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working: Other Features",https://rukminim2.flixcart.com/image/kppt47k0/cases-covers/back-cover/e/e/8/samsunggalaxyj7-697-hansviprint-original-imag3wcfafzdzq7r.jpeg | https://rukminim2.flixcart.com/image/kppt47k0/cases-covers/back-cover/k/o/u/samsunggalaxyj7-697-hansviprint-original-imag3wcfq5tgjy2y.jpeg | https://rukminim2.flixcart.com/image/kppt47k0/cases-covers/back-cover/i/r/6/samsunggalaxyj7-697-hansviprint-original-imag3wcfzgz5yy8h.jpeg | https://rukminim2.flixcart.com/image/kppt47k0/cases-covers/back-cover/a/c/z/samsunggalaxyj7-697-hansviprint-original-imag3wcfbttxau2b.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Appcityprint Designer Cases & Covers,India,Cases & Covers,,0,0,0,0e282b63-837d-5229-85e6-3789c7c178c0,01/01/24
75,131,"Zybux Back Cover for Mi Redmi Note 9 Pro Max , Silicone Mobile Back Case for Mi Redmi Note 9 Pro Max  (Black, Shock Proof, Silicon)",https://www.flipkart.com/zybux-back-cover-mi-redmi-note-9-pro-max-silicone-mobile-case/p/itm6327451aac67d,itm6327451aac67d,https://www.flipkart.com/product/p/itm6327451aac67d,244,INR,₹999,75% off,True,Suitable For: Mobile | Material: Silicon | Theme: No Theme | Type: Back Cover,zybux,4,Mi Redmi Note 9 Pro Max Back Cover Fashionable & flexible : These Covers are made from durable premium silicone. Protect from accidental bumps. Provides a firm grip and prevents from sliding across your cars dashboard or angled surfaces. It's special anti-dust and scratch-free properties preserves your phones shining look. Quality material used for this skin provides shield and avoid scratches.,"[{'Sales Package': '1 back cover'}, {'Model Number': 'Mi-Redmi-Note-9-Pro-Max'}, {'Designed For': 'Mi Redmi Note 9 Pro Max , Silicone Mobile Back Case for Mi Redmi Note 9 Pro Max'}, {'Brand Color': 'Black, Transparent'}, {'Other Features': 'Helps to prevent your device from sliding on soft surfaces or angle surfaces. The revolutionary technology keeps dust away from the cover. Precise cutouts give easy access to all the functionality. This elegant skin-tight TPU cover is perfectly manufactured to fit. Installation and removal are very easy. Protects at all times.'}]","1 back cover: Sales Package | Mi-Redmi-Note-9-Pro-Max: Model Number | Mi Redmi Note 9 Pro Max , Silicone Mobile Back Case for Mi Redmi Note 9 Pro Max: Designed For | Black, Transparent: Brand Color | Helps to prevent your device from sliding on soft surfaces or angle surfaces. The revolutionary technology keeps dust away from the cover. Precise cutouts give easy access to all the functionality. This elegant skin-tight TPU cover is perfectly manufactured to fit. Installation and removal are very easy. Protects at all times.: Other Features",https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/o/y/b/mi-redmi-note-9-pro-max-zybux-original-imaghj23tbz8tmzs.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/8/g/l/mi-redmi-note-9-pro-max-zybux-original-imaghj23sacp2k4r.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/1/x/3/mi-redmi-note-9-pro-max-zybux-original-imaghj23bd7zjjcr.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/e/f/r/mi-redmi-note-9-pro-max-zybux-original-imaghj23gz5z7tjx.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/d/9/d/mi-redmi-note-9-pro-max-zybux-original-imaghj23uhjnkphm.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Plain Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Plain Cases & Covers | Zybux Plain Cases & Covers,India,Cases & Covers,made by zybux,0,0,0,e671836d-4e87-5055-b46e-df2d12143b1f,01/01/24
76,132,"Zappy Back Cover for Realme Narzo 50A  (Multicolor, Hard Case)",https://www.flipkart.com/zappy-back-cover-realme-narzo-50a/p/itm8d8c362cddf12,itm8d8c362cddf12,https://www.flipkart.com/product/p/itm8d8c362cddf12,149,INR,₹599,75% off,False,,,,,[],,https://rukminim2.flixcart.com/image/l4k7ssw0/shopsy-cases-covers/5/9/3/sravani-n50a-12010-back-cover-my-swag-original-imagffcbxfgfvpaw.jpeg | https://rukminim2.flixcart.com/image/l3hmwsw0/shopsy-cases-covers/9/r/o/sravani-nk5-3-12020-back-cover-spbr-original-imagehpusm3zedyf.jpeg | https://rukminim2.flixcart.com/image/l3hmwsw0/shopsy-cases-covers/6/a/c/sravani-nk5-3-12020-back-cover-spbr-original-imagehpuf4bkp845.jpeg,,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Zappy Designer Cases & Covers,India,Shopsy Cases Covers,6-1-310 khairabad,0,0,0,3cd7535b-ba5e-5ac4-b394-1e7b1839966e,01/01/24
77,134,Snooky Asus Zenfone 2 Mobile Skin  (Multicolor),https://www.flipkart.com/snooky-1211l-sknasuznfn2-asus-zenfone-2-mobile-skin/p/itmf8pv8py74umar,itmf8pv8py74umar,https://www.flipkart.com/product/p/itmf8pv8py74umar,249,INR,₹499,50% off,False,"Asus Zenfone 2 | Patterns | 1211,Superhero,Black,Superheroes1211L-SknAsuZnfn2 | Vinyl | Removable",Snooky,3.3,"Designed For Direct Application On Your Device For An Awesome Makeover Without Adding Any Bulk.
 Made From Premium Vinyl With Anti-Bubble Channels For Easy Applicability. Clean Residue-Free Removal.
High-Resolution Digital Printing. Note: 
use hair dryer to heat the vinyl to stick easily at curves.",[],,https://rukminim2.flixcart.com/image/jlqwpe80/mobile-skin/f/e/r/1211l-sknasuznfn2-snooky-original-imaf8qyychgef8q8.jpeg | https://rukminim2.flixcart.com/image/jm0wscw0/mobile-skin/j/f/u/1202l-sknasuzen5-snooky-original-imaf4hfxu9kd2myk.jpeg | https://rukminim2.flixcart.com/image/jm0wscw0/mobile-skin/g/j/v/1132l3-sknoppf5-snooky-original-imaf4zcsfsyzsg74.jpeg,No Returns Applicable,Mobiles & Accessories,Mobile Accessories,Styling & Maintenance,Mobile Skin Stickers,Mobiles & Accessories | Mobile Accessories | Styling & Maintenance | Mobile Skin Stickers | Snooky Mobile Skin Stickers,India,Mobile Skins,,0,0,0,66ed4a27-2952-550b-9d8a-3afbfe154730,01/01/24
78,135,"Print maker Back Cover for Mi Redmi Note 5 Pro Back Cover  (Multicolor, Dual Protection, Silicon, Pack of: 1)",https://www.flipkart.com/hi/print-maker-back-cover-mi-redmi-note-5-pro/p/itm96ee4af4dfc7d,itm96ee4af4dfc7d,https://www.flipkart.com/product/p/itm96ee4af4dfc7d,197,INR,₹999,80% off,True,Suitable For: Mobile | Material: Silicon | Theme: Quotes/Signs/Symbols | Type: Back Cover,SANJUGANESH,4.5,"Brand New Soft Designer Printed Case Express yourself by your phone and making it stand out. Many design and Prints in stock for your choice This Case keeps your PHONE safe and protected. Durable construction offers premium protection for side and back of your phone. Allows easy access to all buttons, controls and ports. Print Maker is the manufacturer of the cover and print our own covers, And we Do not print the sides of the cover. So corners would always be transparent.","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'RDN-RED5-PR-1011'}, {'Designed For': 'Mi Redmi Note 5 Pro Back Cover'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Certification': 'Print Maker'}, {'Other Features': 'Print Maker cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.'}]","1 Back Cover: Sales Package | RDN-RED5-PR-1011: Model Number | Mi Redmi Note 5 Pro Back Cover: Designed For | Multicolor: Brand Color | 1: Pack of | Print Maker: Certification | Print Maker cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.: Other Features",https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/m/m/y/rdn-red5-pr-1011-nassion-original-imag6savmmapbvgr.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/t/m/u/rdn-red5-pr-1011-nassion-original-imag6save7zytegw.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/4/g/r/rdn-red5-pr-1011-nassion-original-imag6savy44ujczt.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/d/s/8/rdn-red5-pr-1011-nassion-original-imag6sav5buyzgkg.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Print maker Designer Cases & Covers,,,,0,0,0,60ece418-8364-5863-a803-11ed7ffb8bab,01/01/24
79,143,"ORBIQE Back Cover for Realme Narzo 30 5G LOVE, FOREVER, COUPLE, HEART, STAR  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/orbiqe-back-cover-realme-narzo-30-5g-love-forever-couple-heart-star/p/itm36eb0741db27d,itm36eb0741db27d,https://www.flipkart.com/product/p/itm36eb0741db27d,259,INR,₹999,74% off,True,Suitable For: Mobile | Material: Plastic | Theme: Patterns | Type: Back Cover,WALL KAR,4.3,"This premium back cover is an offering from ORBIQE which is tailor made for your Realme Narzo 5G, The design elements of this case include LOVE, FOREVER, COUPLE, HEART, STAR, This mobile case embraces you phone precisely with optimal cut-outs for buttons and ports. The phone cover is made from light but extremely durable poly-carbonate material to protect your precious phone from drops and scratches.","[{'Sales Package': '1 Designer Printed Back Cover For Realme Narzo 30 5G'}, {'Model Number': 'RMX3242-LOVE-FOREVER-COUPLE-HEART-STAR-726'}, {'Designed For': 'Realme Narzo 30 5G LOVE, FOREVER, COUPLE, HEART, STAR'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}]","1 Designer Printed Back Cover For Realme Narzo 30 5G: Sales Package | RMX3242-LOVE-FOREVER-COUPLE-HEART-STAR-726: Model Number | Realme Narzo 30 5G LOVE, FOREVER, COUPLE, HEART, STAR: Designed For | Multicolor: Brand Color | 1: Pack of",https://rukminim2.flixcart.com/image/l1mh7rk0/cases-covers/back-cover/j/4/r/rmx3388-love-forever-couple-heart-star-726-orbiqe-original-imagd56yg4ktbdye.jpeg | https://rukminim2.flixcart.com/image/kdhphu80/cases-covers/back-cover/h/n/g/inditex-sm-72-original-imafudzv7rmyamgh.jpeg | https://rukminim2.flixcart.com/image/kku1yfk0/cases-covers/back-cover/9/a/i/1916-pd1928bf-in-a-a-letter-a-alphabet-design-147-orbiqe-original-imagy3dtzeqghrh9.jpeg | https://rukminim2.flixcart.com/image/kku1yfk0/cases-covers/back-cover/h/v/p/1916-pd1928bf-in-a-a-letter-a-alphabet-design-147-orbiqe-original-imagy3dthtpcm8zf.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | ORBIQE Designer Cases & Covers,India,Cases & Covers,"Wall Kar, Jaipur",0,0,0,2d86b4e8-ca60-55b4-99b0-ab782cc2091b,01/01/24
80,144,"My Swag Back Cover for Mi Redmi 3S Prime  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/my-swag-back-cover-mi-redmi-3s-prime/p/itm804358e91ff5b,itm804358e91ff5b,https://www.flipkart.com/product/p/itm804358e91ff5b,229,INR,₹899,74% off,True,Suitable For: Mobile | Material: Polycarbonate | Theme: Quotes/Signs/Symbols | Type: Back Cover,MySwag1,3.8,"This premium back cover is an my swag my swag made of high qulity and highly durable in nature,","[{'Sales Package': '1 back cover'}, {'Model Number': 'SWHT3SPD678'}, {'Designed For': 'Mi Redmi 3S Prime'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}]",1 back cover: Sales Package | SWHT3SPD678: Model Number | Mi Redmi 3S Prime: Designed For | Multicolor: Brand Color | 1: Pack of,https://rukminim2.flixcart.com/image/jz05rww0/cases-covers/back-cover/z/z/z/my-swag-swht3spd678-original-imafj4hhhfd2hfug.jpeg | https://rukminim2.flixcart.com/image/jz05rww0/cases-covers/back-cover/3/h/w/my-swag-swhtmimax2d906-original-imafhxh56fqrnjch.jpeg | https://rukminim2.flixcart.com/image/jz05rww0/cases-covers/back-cover/3/h/w/my-swag-swhtmimax2d906-original-imafhxh5jxqvna2f.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | My Swag Designer Cases & Covers,India,Cases & Covers,6-1-310 khairabad,0,0,0,53e3d5fc-9643-5a67-bf43-b2b0ce4a003b,01/01/24
81,145,"Nassion Back Cover for POCO X4 Pro 5G  (Multicolor, Grip Case, Silicon, Pack of: 1)",https://www.flipkart.com/nassion-back-cover-poco-x4-pro-5g/p/itm6bee96e2e4605,itm6bee96e2e4605,https://www.flipkart.com/product/p/itm6bee96e2e4605,197,INR,₹799,75% off,True,Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover,Royal Nassion,4.2,"Brand New Soft Designer Printed Case Express yourself by your phone and making it stand out. Many design and Prints in stock for your choice This Case keeps your PHONE safe and protected. Durable construction offers premium protection for side and back of your phone. Allows easy access to all buttons, controls and ports. Nassion is the manufacturer of the cover and print our own covers, And we Do not print the sides of the cover. So corners would always be transparent.","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'XR-PR-5G-627'}, {'Designed For': 'POCO X4 Pro 5G'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Certification': 'Nassion'}, {'Other Features': 'Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.'}]","1 Back Cover: Sales Package | XR-PR-5G-627: Model Number | POCO X4 Pro 5G: Designed For | Multicolor: Brand Color | 1: Pack of | Nassion: Certification | Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.: Other Features",https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/z/h/j/xr-pr-5g-627-nassion-original-imagjpz8tgfqdyvh.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/r/7/y/xr-pr-5g-627-nassion-original-imagjpz8ca3npuvn.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/u/k/g/xr-pr-5g-627-nassion-original-imagjpz8jn6hhhb8.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/2/d/c/xr-pr-5g-627-nassion-original-imagjpz8jknzxhus.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Nassion Designer Cases & Covers,India,Cases & Covers,,0,0,0,973c2b89-5fae-559f-85b6-d9ea196060b6,01/01/24
82,146,"itrusto Back Cover for Mi Redmi 7A  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/hi/itrusto-back-cover-mi-redmi-7a/p/itmb57eaea1bfa3d,itmb57eaea1bfa3d,https://www.flipkart.com/product/p/itmb57eaea1bfa3d,215,INR,₹999,78% off,True,Suitable For: Mobile | Material: Plastic | Theme: Animals/Birds/Nature | Type: Back Cover,BRincorporation,3.8,"itrusto Print Design Hard Back Case provides protection by preventing your Mobile Phone from dust and unnecessary scratches. It is made to fit perfect and gives the device its maximum protection. The Hard Case is reinforced from the Proper edges, sides and back to prolong the life of your Mobile Phone. Besides its protection, it also has openings precisely made for the side buttons, charger port / dock connector, headset jack and speaker which allow you full access to all the functions on your device. Easy to install and last for a long time and the pattern on the surface looks great. It is the perfect case for protecting your Phone from scratches, shock, and the elements. Kindly Note: There may be slight change in color of design printed on case as seen on website, as there can be different monitor settings and also difference in ink transfer rate of printer to case.","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'RDI-ITR-7AA-344'}, {'Designed For': 'Mi Redmi 7A'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}]",1 Back Cover: Sales Package | RDI-ITR-7AA-344: Model Number | Mi Redmi 7A: Designed For | Multicolor: Brand Color | 1: Pack of,https://rukminim2.flixcart.com/image/k05ljm80/cases-covers/back-cover/s/t/z/itrusto-rdi-itr-7aa-344-original-imafkyue3p3czwhs.jpeg | https://rukminim2.flixcart.com/image/k05ljm80/cases-covers/back-cover/y/t/t/itrusto-rdi-itr-7aa-494-original-imafjh49k8vv2cxb.jpeg | https://rukminim2.flixcart.com/image/k05ljm80/cases-covers/back-cover/v/m/h/itrusto-rdi-itr-7aa-491-original-imafjh49egzqf2ta.jpeg | https://rukminim2.flixcart.com/image/k05ljm80/cases-covers/back-cover/q/s/x/itrusto-rdi-itr-7aa-376-original-imafjh49bebgqtbh.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | itrusto Designer Cases & Covers,,,,0,0,0,2652e4d6-4b37-5e05-a036-95b23eb1cb70,01/01/24
83,148,"My Thing! Back Cover for Realme 9i 5G  (Multicolor, Hard Case)",https://www.flipkart.com/hi/my-thing-back-cover-realme-9i-5g/p/itm8f397d6b6fcc1,itm8f397d6b6fcc1,https://www.flipkart.com/product/p/itm8f397d6b6fcc1,279,INR,₹599,53% off,False,Suitable For: Mobile | Material: Plastic | Theme: Patterns | Type: Back Cover,Pricon,3.7,My Thing! designer back covers are made of hard plastic for durability and effective protection from inadvertent falls. It adds sense of style to your device and comes with a long lasting matte finish. Our cases are printed using HTP technology which imparts the image permanently on to the surface of the substrate. These phone cases can be installed hassle free and provides easy access to various ports and buttons. Textures shown in the images may differ from actual finish on the case.,[],,https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/9/x/l/rlm9i5g-pat921-my-thing-original-imaggd8ftzjabj7g.jpeg | https://rukminim2.flixcart.com/image/k6i7zww0/cases-covers/back-cover/r/q/g/my-thing-pox2-sig675-original-imafhhfhfychjswx.jpeg | https://rukminim2.flixcart.com/image/jwxuvm80/cases-covers/back-cover/h/3/e/my-thing-gp3a-com020-original-imafercsazp4habn.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | My Thing! Designer Cases & Covers,,,,0,0,0,45b0e653-33d5-57c6-9cbd-db74da78e146,01/01/24
84,149,"DIKRO Back Cover for vivo Y21G, V2152, GUCCI, LOGO, SIGN, DESIGN, ART  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/hi/dikro-back-cover-vivo-y21g-v2152-gucci-logo-sign-design-art/p/itmdc4fd4ce5b7d9,itmdc4fd4ce5b7d9,https://www.flipkart.com/product/p/itmdc4fd4ce5b7d9,270,INR,₹999,72% off,True,Suitable For: Mobile | Material: Plastic | Theme: Quotes/Signs/Symbols | Type: Back Cover,,,"vivo Y21G Back Cover by DIKRO Stylish, Ultra Slim, Sleek and Light Weight Design Snap on Case Protect your phone from scratches and bumps,Image Full Wrap Finish Tight and Firm fit for perfect grip and support. GUCCI, LOGO, SIGN, DESIGN, ART Specially Designed for Your vivo Y21G","[{'Sales Package': '1 DESIGNER PRINTED BACK COVER vivo Y21G'}, {'Model Number': 'V2152-GUCCI-LOGO-SIGN-DESIGN-ART-2377'}, {'Designed For': 'vivo Y21G, V2152, GUCCI, LOGO, SIGN, DESIGN, ART'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Other Features': 'Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection'}]","1 DESIGNER PRINTED BACK COVER vivo Y21G: Sales Package | V2152-GUCCI-LOGO-SIGN-DESIGN-ART-2377: Model Number | vivo Y21G, V2152, GUCCI, LOGO, SIGN, DESIGN, ART: Designed For | Multicolor: Brand Color | 1: Pack of | Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection: Other Features",,,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | DIKRO Designer Cases & Covers,,,,0,0,0,6eb92bd4-d10c-5e9a-bf10-f1d1d0eb1d02,01/01/24
